47,94,188,376,752,1504,3008,6016,12032,24064,48128,96256,192512,385024,245761,491522,458757,393227,262167,122264,244528,489056,453825,383363,242439,484878,445469,366651,209015,418030,311773,99259,198518,397036,269785,15283,30566,61132,402070,279853,35419,70838,141676,283352,42417,84834,169668,339336,154385,308770,93253,186506,373012,221737,443474,362661,201035,122217,244434,488868,453449,382611,240935,481870,439453,354619,184951,369902,215517,431034,337781,151275,302550,80813,161626,323252,524240,524193,524099,523911,523535,522783,521279,518271,512255,500223,476159,428031,331775,139263,278526,32765,65530,131060,262120,402023,279759,35231,70462,140924,281848,39409,78818,157636,315272,106257,212514,425028,325769,127251,254502,509004,493721,463155,
49,98,196,392,784,1568,3136,6272,12544,25088,50176,100352,200704,401408,278529,32771,65542,131084,262168,214104,428208,332129,139971,279942,35597,71194,142388,284776,45265,90530,181060,362120,199953,399906,275525,26763,53526,107052,310232,96177,192354,384708,245129,490258,456229,388171,252055,504110,483933,443579,362871,201455,402910,281533,38779,77558,155116,214055,428110,331933,139579,279158,34029,68058,136116,272232,20177,40354,80708,161416,322832,121377,242754,485508,446729,369171,524238,524189,524091,523895,523503,522719,521151,518015,511743,499199,474111,423935,323583,122879,245758,491516,458745,393203,262119,310183,96079,192158,384316,244345,488690,453093,381899,239511,479022,433757,343227,162167,324334,124381,248762,497524,470761,417235,
51,102,204,408,816,1632,3264,6528,13056,26112,52224,104448,208896,417792,311297,98307,196614,393228,262169,493632,462977,401667,279047,33807,67614,135228,270456,16625,33250,66500,133000,266000,7713,15426,30852,61704,123408,246816,30706,61412,122824,245648,491296,458305,392323,260359,520718,517149,510011,495735,467183,410079,295871,67455,134910,269820,15353,493581,462875,401463,278639,32991,65982,131964,263928,3569,7138,14276,28552,57104,114208,228416,456832,389377,254467,508934,524236,524185,524083,523879,523471,522655,521023,517759,511231,498175,472063,419839,315391,106495,212990,425980,327673,131059,262118,30655,61310,122620,245240,490480,456673,389059,253831,507662,491037,457787,391287,258287,516574,508861,493435,462583,400879,277471,
53,106,212,424,848,1696,3392,6784,13568,27136,54272,108544,217088,434176,344065,163843,327686,131085,262170,403046,281805,39323,78646,157292,314584,104881,209762,419524,314761,105235,210470,420940,317593,110899,221798,443596,362905,201523,121294,242588,485176,446065,367843,211399,422798,321309,118331,236662,473324,422361,320435,116583,233166,466332,408377,292467,60647,402993,281699,39111,78222,156444,312888,101489,202978,405956,287625,50963,101926,203852,407704,291121,57955,115910,231820,463640,524234,524181,524075,523863,523439,522591,520895,517503,510719,497151,470015,415743,307199,90111,180222,360444,196601,393202,262117,121241,242482,484964,445641,366995,209703,419406,314525,104763,209526,419052,313817,103347,206694,413388,302489,80691,161382,322764,
55,110,220,440,880,1760,3520,7040,14080,28160,56320,112640,225280,450560,376833,229379,458758,393229,262171,450766,377245,230203,460406,396525,268763,13239,26478,52956,105912,211824,423648,323009,121731,243462,486924,449561,374835,225383,73576,147152,294304,64321,128642,257284,514568,504849,485411,446535,368783,213279,426558,328829,133371,266742,9197,18394,36788,450711,377135,229983,459966,395645,267003,9719,19438,38876,77752,155504,311008,97729,195458,390916,257545,515090,505893,487499,524232,524177,524067,523847,523407,522527,520767,517247,510207,496127,467967,411647,299007,73727,147454,294908,65529,131058,262116,73521,147042,294084,63881,127762,255524,511048,497809,471331,418375,312463,100639,201278,402556,280825,37363,74726,149452,298904,
57,114,228,456,912,1824,3648,7296,14592,29184,58368,116736,233472,466944,409601,294915,65543,131086,262172,42395,84790,169580,339160,154033,308066,91845,183690,367380,210473,420946,317605,110923,221846,443692,363097,201907,403814,283341,481949,439611,354935,185583,371166,218045,436090,347893,171499,342998,161709,323418,122549,245098,490196,456105,387923,251559,503118,42338,84676,169352,338704,153121,306242,88197,176394,352788,181289,362578,200869,401738,279189,34091,68182,136364,272728,21169,524230,524173,524059,523831,523375,522463,520639,516991,509695,495103,465919,407551,290815,57343,114686,229372,458744,393201,262115,481892,439497,354707,185127,370254,216221,432442,340597,156907,313814,103341,206682,413364,302441,80595,161190,322380,120473,240946,
59,118,236,472,944,1888,3776,7552,15104,30208,60416,120832,241664,483328,442369,360451,196615,393230,262173,346189,168091,336182,148077,296154,68021,136042,272084,19881,39762,79524,159048,318096,111905,223810,447620,370953,217619,435238,178157,356314,188341,376682,229077,458154,392021,259755,519510,514733,505179,486071,447855,371423,218559,437118,349949,175611,351222,346130,167973,335946,147605,295210,66133,132266,264532,4777,9554,19108,38216,76432,152864,305728,87169,174338,348676,173065,524228,524169,524051,523815,523343,522399,520511,516735,509183,494079,463871,403455,282623,40959,81918,163836,327672,131057,262114,178098,356196,188105,376210,228133,456266,388245,252203,504406,484525,444763,365239,206191,412382,300477,76667,153334,306668,89049,
61,122,244,488,976,1952,3904,7808,15616,31232,62464,124928,249856,499712,475137,425987,327687,131087,262174,407886,291485,58683,117366,234732,469464,414641,304995,85703,171406,342812,161337,322674,121061,242122,484244,444201,364115,203943,116462,232924,465848,407409,290531,56775,113550,227100,454200,384113,243939,487878,451469,378651,233015,466030,407773,291259,58231,407825,291363,58439,116878,233756,467512,410737,297187,70087,140174,280348,36409,72818,145636,291272,58257,116514,233028,466056,524226,524165,524043,523799,523311,522335,520383,516479,508671,493055,461823,399359,274431,24575,49150,98300,196600,393200,262113,116401,232802,465604,406921,289555,54823,109646,219292,438584,352881,181475,362950,201613,403226,282165,40043,80086,160172,320344,
63,126,252,504,1008,2016,4032,8064,16128,32256,64512,129024,258048,516096,507905,491523,458759,393231,262175,326441,128595,257190,514380,504473,484659,445031,365775,207263,414526,304765,85243,170486,340972,157657,315314,106341,212682,425364,197909,395818,267349,10411,20822,41644,83288,166576,333152,142017,284034,43781,87562,175124,350248,176209,352418,180549,361098,326378,128469,256938,513876,503465,482643,440999,357711,191135,382270,240253,480506,436725,349163,174039,348078,171869,343738,163189,524224,524161,524035,523783,523279,522271,520255,516223,508159,492031,459775,395263,266239,8191,16382,32764,65528,131056,262112,197846,395692,267097,9907,19814,39628,79256,158512,317024,109761,219522,439044,353801,183315,366630,208973,417946,311605,98923,
65,130,260,520,1040,2080,4160,8320,16640,33280,66560,133120,266240,8193,16386,32772,65544,131088,262176,26106,52212,104424,208848,417696,311105,97923,195846,391692,259097,518194,512101,499915,475543,426799,329311,134335,268670,13053,498246,472205,420123,315959,107631,215262,430524,336761,149235,298470,72653,145306,290612,56937,113874,227748,455496,386705,249123,26041,52082,104164,208328,416656,309025,93763,187526,375052,225817,451634,378981,233675,467350,410413,296539,68791,137582,275164,524222,524157,524027,523767,523247,522207,520127,515967,507647,491007,457727,391167,258047,516094,507901,491515,458743,393199,262111,498181,472075,419863,315439,106591,213182,426364,328441,132595,265190,6093,12186,24372,48744,97488,194976,389952,255617,511234,
67,134,268,536,1072,2144,4288,8576,17152,34304,68608,137216,274432,24577,49154,98308,196616,393232,262177,217228,434456,344625,164963,329926,135565,271130,17973,35946,71892,143784,287568,50849,101698,203396,406792,289297,54307,108614,307126,89965,179930,359860,195433,390866,257445,514890,505493,486699,449111,373935,223583,447166,370045,215803,431606,338925,153563,217161,434322,344357,164427,328854,133421,266842,9397,18794,37588,75176,150352,300704,77121,154242,308484,92681,185362,370724,524220,524153,524019,523751,523215,522143,519999,515711,507135,489983,455679,387071,249855,499710,475133,425979,327671,131055,262110,307059,89831,179662,359324,194361,388722,253157,506314,488341,452395,380503,236719,473438,422589,320891,117495,234990,469980,415673,
69,138,276,552,1104,2208,4416,8832,17664,35328,70656,141312,282624,40961,81922,163844,327688,131089,262178,476928,429569,334851,145415,290830,57373,114746,229492,458984,393681,263075,1863,3726,7452,14904,29808,59616,119232,238464,47428,94856,189712,379424,234561,469122,413957,303627,82967,165934,331868,139449,278898,33509,67018,134036,268072,11857,23714,476859,429431,334575,144863,289726,55165,110330,220660,441320,358353,192419,384838,245389,490778,457269,390251,256215,512430,500573,524218,524149,524011,523735,523183,522079,519871,515455,506623,488959,453631,382975,241663,483326,442365,360443,196599,393198,262109,47359,94718,189436,378872,233457,466914,409541,294795,65303,130606,261212,522424,520561,516835,509383,494479,464671,405055,285823,
